<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GC;D;220103;000000;1830.1;1833;1798.2;1803;171631
GC;D;220104;000000;1803;1817.2;1798.1;1815;145713
GC;D;220105;000000;1815;1830.7;1804.9;1805.1;163439
GC;D;220106;000000;1805.2;1807.4;1785.4;1792.2;194439
GC;D;220107;000000;1792.3;1798.4;1781.3;1796.5;150773
GC;D;220110;000000;1796.4;1807.4;1789.3;1806.1;145692
GC;D;220111;000000;1806.1;1823.1;1801.1;1818;142331
GC;D;220112;000000;1818;1828.2;1814.4;1826;141991
GC;D;220113;000000;1825.9;1828.3;1811.8;1825.8;141919
GC;D;220114;000000;1825.8;1829.3;1814.2;1817.3;136105
GC;D;220117;000000;1818.7;1822.9;1812.2;1816.9;70071
GC;D;220118;000000;1816.9;1819.9;1804.7;1811.1;197470
GC;D;220119;000000;1810.9;1844.4;1810.6;1840.1;245337
GC;D;220120;000000;1840;1848.5;1836.2;1841.8;159455
GC;D;220121;000000;1841.8;1843.7;1828.4;1836.1;151941
GC;D;220124;000000;1835.2;1844.9;1829.3;1842.1;178627
GC;D;220125;000000;1842.2;1854.2;1834.4;1847.5;152762
GC;D;220126;000000;1847.5;1848.9;1812.2;1814.7;189646
GC;D;220127;000000;1814.5;1816.4;1790.6;1797;117391
GC;D;220128;000000;1797.2;1797.5;1778.8;1790.1;9897
GC;D;220131;000000;1792.8;1800.9;1785.8;1800;135128
GC;D;220201;000000;1800.1;1809.7;1797.6;1798;123209
GC;D;220202;000000;1798;1812;1794.6;1806.9;114924
GC;D;220203;000000;1807;1809;1788.5;1807.3;165976
GC;D;220204;000000;1807.3;1815.8;1792.1;1808.8;163543
GC;D;220207;000000;1808;1824.6;1807.5;1822;146474
GC;D;220208;000000;1822;1829.9;1816;1828.4;131440
GC;D;220209;000000;1828.4;1837.1;1825.5;1835.1;123632
GC;D;220210;000000;1835.2;1843.3;1821.8;1824.5;216332
GC;D;220211;000000;1824.5;1867.4;1821.1;1860.6;210496
GC;D;220214;000000;1862.2;1881.3;1851.9;1879.6;240006
GC;D;220215;000000;1879.7;1881.6;1845.4;1854.4;192304
GC;D;220216;000000;1854.4;1878.9;1852.3;1876.2;149595
GC;D;220217;000000;1876.1;1905;1872.3;1892.3;243937
GC;D;220218;000000;1892.2;1902.5;1888;1900.8;127526
GC;D;220221;000000;1903.5;1918.3;1889.7;1910.3;136872
GC;D;220222;000000;1910.2;1915.7;1892.8;1899;183585
GC;D;220223;000000;1898.9;1951;1891.1;1937.7;212560
GC;D;220224;000000;1937.8;1976.5;1878.6;1913.6;353324
GC;D;220225;000000;1913.5;1922.4;1884.4;1890.1;183142
GC;D;220228;000000;1921;1935.2;1892.2;1907.3;248416
GC;D;220301;000000;1907.3;1952.6;1906.2;1939.2;222259
GC;D;220302;000000;1939.1;1951.4;1916;1926.3;203972
GC;D;220303;000000;1926.2;1954.5;1923.1;1941.7;186220
GC;D;220304;000000;1941.8;1974.9;1936.4;1974.9;180631
GC;D;220307;000000;1978.5;2007.5;1964.2;1996.1;315062
GC;D;220308;000000;1996.1;2078.8;1994.4;2061.2;373467
GC;D;220309;000000;2061.3;2066.6;1975;1984.5;292044
GC;D;220310;000000;1984.4;2015.1;1980.2;1992.7;195046
GC;D;220311;000000;1992.6;2000.6;1960.6;1992.3;158656
GC;D;220314;000000;1988.7;1994.8;1941.3;1944.6;153160
GC;D;220315;000000;1944.5;1944.7;1908.1;1919.9;169358
GC;D;220316;000000;1919.7;1939.5;1895.2;1937.5;158569
GC;D;220317;000000;1937.7;1951;1927.2;1935.7;123963
GC;D;220318;000000;1935.7;1941.9;1918;1921.5;102436
GC;D;220321;000000;1922.4;1941.8;1917.2;1937.7;115443
GC;D;220322;000000;1937.9;1939.5;1909.8;1921.8;113576
GC;D;220323;000000;1921.9;1949.3;1917.1;1939.6;116179
GC;D;220324;000000;1939.5;1967.2;1937.4;1961.5;133113
GC;D;220325;000000;1961.4;1963.3;1942.6;1957.6;108586
GC;D;220328;000000;1958.7;1959.8;1915.7;1924.9;142487
GC;D;220329;000000;1925;1925;1888.3;1923;65530
GC;D;220330;000000;1924.2;1938.7;1916.3;1929.4;17838
GC;D;220331;000000;1929.2;1955;1923;1943.1;131624
GC;D;220401;000000;1943;1944.5;1921.4;1928.5;114111
GC;D;220404;000000;1927.1;1941.6;1918.2;1932;108917
GC;D;220405;000000;1932;1948.9;1919.5;1926.6;144681
GC;D;220406;000000;1926.7;1937.6;1916.2;1925;142220
GC;D;220407;000000;1925;1941.7;1923.3;1933.9;112266
GC;D;220408;000000;1933.8;1952.2;1930.4;1950.4;121177
GC;D;220411;000000;1949.6;1974.6;1942.9;1963.2;187729
GC;D;220412;000000;1963.2;1982.7;1953;1973.6;158095
GC;D;220413;000000;1973.7;1985.8;1969.2;1977.2;121461
GC;D;220414;000000;1977.4;1983.8;1962.7;1977.1;122165
GC;D;220418;000000;1978.5;2003;1974.4;1981.8;148075
GC;D;220419;000000;1981.7;1985.1;1944.7;1946.5;176312
GC;D;220420;000000;1946.6;1960.9;1941;1953.5;125544
GC;D;220421;000000;1953.3;1956.3;1938;1952.1;141688
GC;D;220422;000000;1952.2;1957.8;1928;1932.5;147719
GC;D;220425;000000;1931.9;1935.5;1891.8;1903.2;225001
GC;D;220426;000000;1903.1;1912.2;1896.3;1899.6;147507
GC;D;220427;000000;1899.7;1908.1;1877.4;1879.2;170949
GC;D;220428;000000;1879.1;1907;1870.9;1905.6;166213
GC;D;220429;000000;1905.8;1921.3;1895.2;1896.9;140871
GC;D;220502;000000;1896.2;1900.4;1853.4;1862.3;192622
GC;D;220503;000000;1862.3;1878.4;1849.7;1864.5;141650
GC;D;220504;000000;1864.5;1904;1861.1;1901.8;136188
GC;D;220505;000000;1901.9;1910.7;1865;1876.5;186660
GC;D;220506;000000;1876.5;1894;1873;1882.8;123206
GC;D;220509;000000;1883.7;1885.6;1851;1863.5;162675
GC;D;220510;000000;1863.5;1864.7;1830.6;1835.2;165392
GC;D;220511;000000;1835.1;1858.8;1833.5;1852.7;174120
GC;D;220512;000000;1852.7;1853.9;1809.1;1823.2;187500
GC;D;220513;000000;1823.1;1827.6;1797.2;1810.3;138686
GC;D;220516;000000;1809.4;1828.4;1785;1821.7;153436
GC;D;220517;000000;1821.6;1834.8;1805.4;1806.4;114888
GC;D;220518;000000;1806.5;1822.9;1805;1814.1;102086
GC;D;220519;000000;1814.2;1848.2;1808.4;1840.1;148537
