<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
GLDRUB_TOM;D;20150505;000000;1963.5;1976.2;1963.5;1976.2;0;0
GLDRUB_TOM;D;20150506;000000;1925;1925;1917;1924.5;0;0
GLDRUB_TOM;D;20150507;000000;1921.6;1921.6;1921.6;1921.6;0;0
GLDRUB_TOM;D;20150512;000000;1934;1934;1934;1934;0;0
GLDRUB_TOM;D;20150513;000000;1901.6;1901.6;1901.6;1901.6;0;0
GLDRUB_TOM;D;20150514;000000;1954;1970.2;1954;1970.2;0;0
GLDRUB_TOM;D;20150515;000000;1951.3;1951.3;1951.3;1951.3;0;0
GLDRUB_TOM;D;20150518;000000;1935;1941.1;1935;1941.1;0;0
GLDRUB_TOM;D;20150519;000000;1936;1936;1936;1936;0;0
GLDRUB_TOM;D;20150520;000000;1943;1946;1943;1943;0;0
GLDRUB_TOM;D;20150525;000000;1937;1937;1937;1937;0;0
GLDRUB_TOM;D;20150526;000000;1937.9;1938.4;1932;1938.4;0;0
GLDRUB_TOM;D;20150527;000000;1949.2;1956;1949.2;1956;0;0
GLDRUB_TOM;D;20150528;000000;2000;2018.4;2000;2018.4;0;0
GLDRUB_TOM;D;20150601;000000;2015;2054;2015;2054;0;0
GLDRUB_TOM;D;20150604;000000;2084.6;2111;2084.6;2111;0;0
GLDRUB_TOM;D;20150608;000000;2123.2;2123.2;2115;2121;0;0
GLDRUB_TOM;D;20150609;000000;2124;2124;2105.8;2105.8;0;0
GLDRUB_TOM;D;20150610;000000;2091;2091;2078.3;2078.3;0;0
GLDRUB_TOM;D;20150616;000000;2040;2040;2040;2040;0;0
GLDRUB_TOM;D;20150617;000000;2055;2055;2055;2055;0;0
GLDRUB_TOM;D;20150618;000000;2070;2070;2057;2057;0;0
GLDRUB_TOM;D;20150622;000000;2065;2065;2059;2059;0;0
GLDRUB_TOM;D;20150624;000000;2044.8;2056.8;2044.8;2056.8;0;0
GLDRUB_TOM;D;20150629;000000;2101.5;2102;2101.5;2102;0;0
GLDRUB_TOM;D;20150630;000000;2101;2101;2099.7;2099.7;0;0
GLDRUB_TOM;D;20150701;000000;2098.9;2098.9;2092;2092;0;0
GLDRUB_TOM;D;20150707;000000;2145.4;2145.4;2145.4;2145.4;0;0
GLDRUB_TOM;D;20150708;000000;2113;2119.9;2113;2118.3;0;0
GLDRUB_TOM;D;20150709;000000;2132;2132;2132;2132;0;0
GLDRUB_TOM;D;20150714;000000;2109.6;2109.6;2108;2108;0;0
GLDRUB_TOM;D;20150715;000000;2103;2103;2092.7;2092.7;0;0
GLDRUB_TOM;D;20150716;000000;2092.4;2092.4;2092.4;2092.4;0;0
GLDRUB_TOM;D;20150720;000000;2032.2;2032.2;2032.2;2032.2;0;0
GLDRUB_TOM;D;20150721;000000;2024.7;2028;2022.4;2022.4;0;0
GLDRUB_TOM;D;20150722;000000;2002;2005.5;2002;2002;0;0
GLDRUB_TOM;D;20150723;000000;2020;2034;2020;2034;0;0
GLDRUB_TOM;D;20150727;000000;2100.4;2100.4;2081.8;2091.9;0;0
GLDRUB_TOM;D;20150730;000000;2057.8;2082.3;2055;2082.3;0;0
GLDRUB_TOM;D;20150803;000000;2193;2213.6;2188;2213.6;0;0
