<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SU29007RMFS0;D;220103;000000;102.185;102.186;101.58;101.58;511
SU29007RMFS0;D;220104;000000;101.75;102.5;101.75;102;354
SU29007RMFS0;D;220105;000000;102.007;102.248;102.007;102.1;76
SU29007RMFS0;D;220106;000000;102.2;102.201;102.001;102.031;336
SU29007RMFS0;D;220110;000000;101.916;102.15;101.911;102.005;4324
SU29007RMFS0;D;220111;000000;102.149;102.149;101.901;101.901;7237
SU29007RMFS0;D;220112;000000;102;102.108;101.861;101.861;13172
SU29007RMFS0;D;220113;000000;101.913;102.048;101.801;101.801;1510
SU29007RMFS0;D;220114;000000;101.951;102.097;101.951;102.094;1550
SU29007RMFS0;D;220117;000000;101.851;102.077;101.659;101.659;5631
SU29007RMFS0;D;220118;000000;101.785;101.851;101;101.414;16265
SU29007RMFS0;D;220119;000000;101.35;101.591;101.35;101.586;816
SU29007RMFS0;D;220120;000000;101.433;101.591;101.433;101.59;1096
SU29007RMFS0;D;220121;000000;101.35;101.59;101.35;101.59;558
SU29007RMFS0;D;220124;000000;101.511;101.589;101.007;101.301;1553
SU29007RMFS0;D;220125;000000;101.4;101.53;101.301;101.303;282
SU29007RMFS0;D;220126;000000;101.304;101.497;101.2;101.2;562
SU29007RMFS0;D;220127;000000;101.3;101.538;101.201;101.3;5491
SU29007RMFS0;D;220128;000000;101.213;101.3;101.061;101.061;1062
SU29007RMFS0;D;220131;000000;101.001;101.299;101.001;101.071;105
SU29007RMFS0;D;220201;000000;101.157;101.157;101.111;101.111;2119
SU29007RMFS0;D;220202;000000;101.249;101.249;101.01;101.01;1976
SU29007RMFS0;D;220203;000000;101.051;101.118;101.011;101.011;995
SU29007RMFS0;D;220204;000000;101.127;101.127;101.011;101.011;289
SU29007RMFS0;D;220207;000000;101.4;101.51;100.91;100.911;274
SU29007RMFS0;D;220208;000000;101.002;101.089;100.911;100.911;587
SU29007RMFS0;D;220209;000000;100.901;101.049;100.901;101;1526
SU29007RMFS0;D;220210;000000;101.189;101.189;100.9;100.9;6015
SU29007RMFS0;D;220211;000000;100.852;100.897;100.5;100.654;1890
SU29007RMFS0;D;220214;000000;100.699;100.899;100.351;100.36;5457
SU29007RMFS0;D;220215;000000;100.36;100.6;100.36;100.6;415
SU29007RMFS0;D;220216;000000;100.698;100.699;100.36;100.36;1573
SU29007RMFS0;D;220217;000000;100.598;100.6;100.4;100.4;315
SU29007RMFS0;D;220218;000000;100.351;100.351;100.179;100.18;21054
SU29007RMFS0;D;220221;000000;100.102;100.125;99.8;99.83;2336
SU29007RMFS0;D;220222;000000;99.701;100;99.601;99.67;2268
SU29007RMFS0;D;220224;000000;99.668;99.798;90.661;99.798;1636
SU29007RMFS0;D;220225;000000;90.662;95.393;90.135;91.996;447
SU29007RMFS0;D;220321;000000;91.994;95;91.55;93.935;6154
SU29007RMFS0;D;220322;000000;97.733;99.75;94.999;96.111;8928
SU29007RMFS0;D;220323;000000;96.01;96.609;96.01;96.202;1125
SU29007RMFS0;D;220324;000000;97.879;97.879;92.501;96.6;1968
SU29007RMFS0;D;220325;000000;96.599;96.645;95.581;96.44;7370
SU29007RMFS0;D;220328;000000;95.222;96.594;95.222;96.594;609
SU29007RMFS0;D;220329;000000;95.708;96.701;95.7;96.699;6385
SU29007RMFS0;D;220330;000000;95.701;96.8;95.701;96.8;1297
SU29007RMFS0;D;220331;000000;96.8;98.557;96.002;96.204;343
SU29007RMFS0;D;220401;000000;95.9;98.9;95.801;98.12;817
SU29007RMFS0;D;220404;000000;97.6;98.25;97.452;97.999;430
SU29007RMFS0;D;220405;000000;97.011;98.9;97.011;98;938
SU29007RMFS0;D;220406;000000;98.8;98.8;97.5;98.155;571
SU29007RMFS0;D;220407;000000;98.685;99;95.8;98.6;6838
SU29007RMFS0;D;220408;000000;97.804;99.9;97.801;98.796;1278
SU29007RMFS0;D;220411;000000;99.899;99.9;98.004;99.255;15824
SU29007RMFS0;D;220412;000000;99.398;100.135;99.139;100;2107
SU29007RMFS0;D;220413;000000;99.7;99.9;99.688;99.688;516
SU29007RMFS0;D;220414;000000;100.698;100.698;99.969;100;1505
SU29007RMFS0;D;220415;000000;98.007;100.483;98.007;100.424;261
SU29007RMFS0;D;220418;000000;100.004;100.15;100.003;100.126;2374
SU29007RMFS0;D;220419;000000;100.436;100.6;100.178;100.481;1133
SU29007RMFS0;D;220420;000000;102.149;102.5;100.483;100.981;9322
SU29007RMFS0;D;220421;000000;100.981;101.255;100.979;101.25;6492
SU29007RMFS0;D;220422;000000;101.257;101.5;100.204;101.349;155
SU29007RMFS0;D;220425;000000;98.5;101.511;98.5;101.397;1891
SU29007RMFS0;D;220426;000000;101.468;101.51;100.252;101.3;1592
SU29007RMFS0;D;220427;000000;101.251;101.3;101.248;101.3;503
SU29007RMFS0;D;220428;000000;101.17;101.347;101.17;101.347;77
SU29007RMFS0;D;220429;000000;101.041;101.428;101.04;101.418;273
SU29007RMFS0;D;220504;000000;101.17;101.17;98.446;101.17;1411
SU29007RMFS0;D;220505;000000;101.17;101.25;101.168;101.17;510
SU29007RMFS0;D;220506;000000;101.15;101.41;101.149;101.41;367
SU29007RMFS0;D;220511;000000;101.152;101.384;101.144;101.144;441
SU29007RMFS0;D;220512;000000;101.385;101.385;100.003;101.149;1205
SU29007RMFS0;D;220513;000000;102.499;102.499;100.156;101;409
SU29007RMFS0;D;220516;000000;99.949;101.569;99.949;101.45;1113
SU29007RMFS0;D;220517;000000;101.698;102.136;101.447;101.95;606
SU29007RMFS0;D;220518;000000;102;102.111;101.935;101.935;1068
SU29007RMFS0;D;220519;000000;101.95;102.105;101.847;101.847;2300
SU29007RMFS0;D;220520;000000;101.85;102.087;100.254;101.842;530
