<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;220102;000000;74.7813;76.7325;74.6768;74.7545;368
USDRUB;D;220103;000000;74.7035;75.215;74.11;74.549;272432
USDRUB;D;220104;000000;74.5496;75.57993;74.135;75.2994;412535
USDRUB;D;220105;000000;76.6688;76.6688;76.6688;76.6688;0
USDRUB;D;220106;000000;76.5681;77.33;75.958;76.2934;658073
USDRUB;D;220107;000000;76.3214;76.5178;75.0494;75.7251;366861
USDRUB;D;220109;000000;75.7264;75.86;75.366;75.5988;554
USDRUB;D;220110;000000;75.366;75.99;74.692;74.764;846490
USDRUB;D;220111;000000;75.2142;75.278;74.195;74.384;752128
USDRUB;D;220112;000000;74.494;74.938;74.224;74.528;694955
USDRUB;D;220113;000000;74.529;76.686;74.394;76.2575;781084
USDRUB;D;220114;000000;76.365105;76.365105;76.365105;76.365105;0
USDRUB;D;220116;000000;76.2303;76.5665;76.125;76.448;539
USDRUB;D;220117;000000;76.69;76.69;76.69;76.69;0
USDRUB;D;220118;000000;76.1627;77.297;75.501;76.8433;889898
USDRUB;D;220119;000000;76.9269;77.149;75.781;76.156;868432
USDRUB;D;220120;000000;76.156;76.8868;75.891;76.7701;706732
USDRUB;D;220121;000000;77.74;77.74;77.74;77.74;0
USDRUB;D;220123;000000;77.58;77.6189;77.108;77.4118;1114
USDRUB;D;220124;000000;77.4167;79.504;76.934;78.6832;1085752
USDRUB;D;220125;000000;78.6338;79.3467;78.198;78.7197;842946
USDRUB;D;220126;000000;78.7234;80.40711;78.462;79.3659;843821
USDRUB;D;220127;000000;79.3658;79.845;77.34;78.0155;856702
USDRUB;D;220128;000000;77.934;77.9373;77.934;77.9373;2
USDRUB;D;220130;000000;78.075;78.2063;77.7358;77.9281;390
USDRUB;D;220131;000000;77.9275;78.1902;77.018;77.155;521383
USDRUB;D;220201;000000;76.8376;76.8384;76.747;76.765;33
USDRUB;D;220202;000000;76.6734;76.898;75.625;76.1212;624471
USDRUB;D;220203;000000;76.1214;76.81879;75.92;76.4683;644088
USDRUB;D;220204;000000;75.44;75.44;75.44;75.44;0
USDRUB;D;220206;000000;75.7458;76.363;75.584;76.095;118
USDRUB;D;220207;000000;75.9722;76.555;75.088;75.4234;477659
USDRUB;D;220208;000000;75.4302;75.75;74.818;75.128;539570
USDRUB;D;220209;000000;75.0512;75.236;74.442;74.57;488781
USDRUB;D;220210;000000;74.654;75.1284;74.2134;74.86;682505
