<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
USDRUB_TOD;D;05/05/23;000000;77.95;78.2;76.265;78;0;0
USDRUB_TOD;D;10/05/23;000000;78;78.2475;75.835;76.23;0;0
USDRUB_TOD;D;11/05/23;000000;76.165;77.2075;75.23;76.925;0;0
USDRUB_TOD;D;12/05/23;000000;77.0975;78.015;76.2;77.5925;0;0
USDRUB_TOD;D;15/05/23;000000;78;79.505;77.965;79.335;0;0
USDRUB_TOD;D;16/05/23;000000;79.1975;80.485;79.185;80.42;0;0
USDRUB_TOD;D;17/05/23;000000;80.4925;81.0775;80.1075;80.21;0;0
USDRUB_TOD;D;18/05/23;000000;79.8575;80.4975;79.5025;80.11;0;0
USDRUB_TOD;D;19/05/23;000000;80.2975;80.55;79.7;79.9275;0;0
USDRUB_TOD;D;22/05/23;000000;79.635;80.155;79.635;79.98;0;0
USDRUB_TOD;D;23/05/23;000000;80.15;80.4725;79.7475;80.1;0;0
USDRUB_TOD;D;24/05/23;000000;80.2725;80.35;79.85;79.995;0;0
USDRUB_TOD;D;25/05/23;000000;80.1675;80.4375;79.7325;80.1975;0;0
USDRUB_TOD;D;26/05/23;000000;80.095;80.2775;79.805;79.9675;0;0
USDRUB_TOD;D;30/05/23;000000;80.8875;81.395;80.1775;80.9175;0;0
USDRUB_TOD;D;31/05/23;000000;81.3;81.3;80.8125;81.075;0;0
USDRUB_TOD;D;01/06/23;000000;81.02;81.175;80.4875;80.7825;0;0
USDRUB_TOD;D;02/06/23;000000;80.5925;81.58;80.5925;81.58;0;0
USDRUB_TOD;D;05/06/23;000000;81.53;81.9175;80.72;80.925;0;0
USDRUB_TOD;D;06/06/23;000000;81.0725;81.6675;80.885;81.5275;0;0
USDRUB_TOD;D;07/06/23;000000;81.4625;81.9;81.3025;81.885;0;0
USDRUB_TOD;D;08/06/23;000000;81.9125;82.775;81.81;82.62;0;0
USDRUB_TOD;D;09/06/23;000000;82.7625;83.04;82.2625;82.6125;0;0
USDRUB_TOD;D;13/06/23;000000;82.9;84.1375;82.745;84.02;0;0
USDRUB_TOD;D;14/06/23;000000;84.4;85.0425;83.7475;84.1375;0;0
USDRUB_TOD;D;15/06/23;000000;84.2825;84.665;83.305;83.53;0;0
