<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<AMOUNT>,<VOLUME>
VTBR,D,20110110,000000,0.075,0.07552,0.07416,0.07542,12773317.05,169835355
VTBR,D,20110111,000000,0.07542,0.0756,0.07399,0.07433,25666508.32,342791430
VTBR,D,20110112,000000,0.07433,0.07484,0.07203,0.0731,12338443.9,167380369
VTBR,D,20110113,000000,0.0731,0.07379,0.0718,0.07232,31585958.52,434410102
VTBR,D,20110114,000000,0.07232,0.07338,0.07146,0.07275,26573893.95,366359605
VTBR,D,20110117,000000,0.07275,0.07371,0.07178,0.0721,9829263.17,135716440
VTBR,D,20110118,000000,0.0721,0.07309,0.07118,0.07267,33289701.46,459897789
VTBR,D,20110119,000000,0.07267,0.07284,0.07121,0.0722,16997584.21,234659822
VTBR,D,20110120,000000,0.0722,0.07339,0.07185,0.0725,24445998.85,337885264
VTBR,D,20110121,000000,0.0725,0.07351,0.07042,0.07141,14923386.99,207398888
VTBR,D,20110124,000000,0.07141,0.07305,0.0712,0.07235,25874181.77,359963575
VTBR,D,20110125,000000,0.07235,0.07249,0.07105,0.07146,33438550.56,465037905
VTBR,D,20110126,000000,0.07146,0.07161,0.07003,0.07086,7416631.79,104224730
VTBR,D,20110127,000000,0.07086,0.07138,0.07029,0.07052,9707451.44,137324253
VTBR,D,20110128,000000,0.07052,0.0708,0.06936,0.07015,29328067.38,416976859
VTBR,D,20110131,000000,0.07015,0.07124,0.06927,0.07057,31060208.81,441446970
VTBR,D,20110201,000000,0.07057,0.0711,0.06907,0.06985,27634463.13,393597253
VTBR,D,20110202,000000,0.06985,0.07067,0.06912,0.07038,32427150.43,462485209
VTBR,D,20110203,000000,0.07038,0.07146,0.06936,0.07116,15523935.02,219357567
VTBR,D,20110204,000000,0.07116,0.0713,0.07072,0.07088,25176765.49,354502471
VTBR,D,20110207,000000,0.07088,0.07234,0.07047,0.07195,18739528.67,262403258
VTBR,D,20110208,000000,0.07195,0.07379,0.07101,0.07306,9060475.59,124963459
VTBR,D,20110209,000000,0.07306,0.07371,0.0715,0.07232,26448054.06,363847215
VTBR,D,20110210,000000,0.07232,0.07298,0.07139,0.07211,8973889.99,124266288
VTBR,D,20110211,000000,0.07211,0.0723,0.07108,0.07214,7852063.39,108867430
VTBR,D,20110214,000000,0.07214,0.07237,0.07075,0.07114,26520745.59,370194662
VTBR,D,20110215,000000,0.07114,0.07159,0.06983,0.0699,23558341.44,334066101
VTBR,D,20110216,000000,0.0699,0.07051,0.06908,0.0692,28878855.07,415224372
VTBR,D,20110217,000000,0.0692,0.07055,0.06868,0.06981,13431888.58,193250681
VTBR,D,20110218,000000,0.06981,0.07097,0.06905,0.07056,9468679.19,134910297
VTBR,D,20110221,000000,0.07056,0.07157,0.07024,0.07043,13493160.05,191405916
VTBR,D,20110222,000000,0.07043,0.0726,0.06987,0.07176,7616327.37,107128875
VTBR,D,20110223,000000,0.07176,0.0732,0.07133,0.07282,27248876.36,376938392
VTBR,D,20110224,000000,0.07282,0.07327,0.07102,0.07194,33875425.48,468021905
VTBR,D,20110225,000000,0.07194,0.07417,0.07146,0.07316,22658684.83,312318192
VTBR,D,20110228,000000,0.07316,0.07418,0.07156,0.07175,35973692.38,496497031
VTBR,D,20110301,000000,0.07175,0.07295,0.07092,0.07263,25598388.9,354597436
VTBR,D,20110302,000000,0.07263,0.07409,0.07203,0.07393,6386951.8,87158185
VTBR,D,20110303,000000,0.07393,0.07598,0.07295,0.07534,30167543.5,404201025
VTBR,D,20110304,000000,0.07534,0.076,0.07442,0.07527,28289274.2,375662628
VTBR,D,20110307,000000,0.07527,0.07557,0.07448,0.07504,33209397.98,441878757
VTBR,D,20110308,000000,0.07504,0.07644,0.07433,0.07561,30929137.31,410609191
VTBR,D,20110309,000000,0.07561,0.0766,0.07502,0.07606,8718267.18,114963634
VTBR,D,20110310,000000,0.07606,0.0762,0.07418,0.07529,26288310.84,347384352
VTBR,D,20110311,000000,0.07529,0.0756,0.07344,0.07448,29116847.26,388820822
VTBR,D,20110314,000000,0.07448,0.07462,0.0721,0.07317,16787616.52,227397447
VTBR,D,20110315,000000,0.07317,0.07349,0.0715,0.07191,11970370.25,165017511
VTBR,D,20110316,000000,0.07191,0.07282,0.07172,0.07202,25860714.29,359351272
VTBR,D,20110317,000000,0.07202,0.07288,0.07167,0.07194,10957194.87,152225547
VTBR,D,20110318,000000,0.07194,0.07268,0.07006,0.07077,19316430.35,270708855
VTBR,D,20110321,000000,0.07077,0.07156,0.07029,0.07068,28071821.3,396915112
VTBR,D,20110322,000000,0.07068,0.07115,0.06883,0.06954,7618388.45,108663364
VTBR,D,20110323,000000,0.06954,0.06979,0.06824,0.06884,19130756.86,276495980
VTBR,D,20110324,000000,0.06884,0.06935,0.06778,0.06797,6188734.01,90471954
VTBR,D,20110325,000000,0.06797,0.06886,0.06733,0.06782,5238737.67,77159403
VTBR,D,20110328,000000,0.06782,0.06881,0.06682,0.06823,6807266.51,100070070
VTBR,D,20110329,000000,0.06823,0.07028,0.06737,0.06939,21381096.93,310726594
VTBR,D,20110330,000000,0.06939,0.0703,0.06918,0.06934,9599344.73,138388881
VTBR,D,20110331,000000,0.06934,0.07037,0.06822,0.069,32575244.62,470944696
VTBR,D,20110401,000000,0.069,0.07014,0.06864,0.06979,30685570.61,442187054
VTBR,D,20110404,000000,0.06979,0.07179,0.06945,0.07117,9381304.82,133105914
VTBR,D,20110405,000000,0.07117,0.07146,0.06929,0.07029,31474559.16,444995888
VTBR,D,20110406,000000,0.07029,0.07122,0.06929,0.07041,25581226.92,363627959
VTBR,D,20110407,000000,0.07041,0.07139,0.06981,0.07034,5667790.53,80536988
VTBR,D,20110408,000000,0.07034,0.07179,0.06947,0.07164,26227755.27,369457040
VTBR,D,20110411,000000,0.07164,0.07258,0.06974,0.0704,25271910.13,355842159
VTBR,D,20110412,000000,0.0704,0.07106,0.06925,0.06969,19267254.33,275069660
VTBR,D,20110413,000000,0.06969,0.07076,0.06895,0.07013,13282726.34,189997516
VTBR,D,20110414,000000,0.07013,0.0709,0.06849,0.0693,18299205.08,262485908
VTBR,D,20110415,000000,0.0693,0.07,0.06769,0.06828,31206870.63,453654174
VTBR,D,20110418,000000,0.06828,0.06955,0.06785,0.06947,24261556.79,352254908
VTBR,D,20110419,000000,0.06947,0.07099,0.06864,0.07085,13497267.77,192378389
VTBR,D,20110420,000000,0.07085,0.07127,0.06883,0.06981,12740222.95,181149196
VTBR,D,20110421,000000,0.06981,0.07003,0.06922,0.06945,29781455.66,427710120
VTBR,D,20110422,000000,0.06945,0.07048,0.06865,0.0689,23102573.49,333972873
VTBR,D,20110425,000000,0.0689,0.06976,0.06681,0.06754,27707832.97,406154104
VTBR,D,20110426,000000,0.06754,0.06844,0.06572,0.06647,7200658.89,107464501
VTBR,D,20110427,000000,0.06647,0.06732,0.06574,0.06711,10892175.52,163080933
VTBR,D,20110428,000000,0.06711,0.06795,0.0667,0.06769,12922283.6,191725276
VTBR,D,20110429,000000,0.06769,0.06801,0.06754,0.0677,5230958.44,77272449
VTBR,D,20110502,000000,0.0677,0.06817,0.06586,0.0666,3485325.2,51903577
VTBR,D,20110503,000000,0.0666,0.06679,0.06608,0.06616,9077376.25,136748663
VTBR,D,20110504,000000,0.06616,0.06738,0.06556,0.0668,3669122.94,55191380
VTBR,D,20110505,000000,0.0668,0.06775,0.06541,0.06576,8617918.54,130022911
VTBR,D,20110506,000000,0.06576,0.06672,0.06531,0.06588,8524166.93,129507246
VTBR,D,20110509,000000,0.06588,0.06598,0.06504,0.06569,31406739.66,477414907
VTBR,D,20110510,000000,0.06569,0.06703,0.06503,0.06693,27597012.9,416181766
VTBR,D,20110511,000000,0.06693,0.06709,0.06599,0.06626,17858927.59,268172199
VTBR,D,20110512,000000,0.06626,0.0683,0.06612,0.06752,11846044.08,177097385
VTBR,D,20110513,000000,0.06752,0.0695,0.06727,0.0685,18454437.12,271348877
VTBR,D,20110516,000000,0.0685,0.06927,0.0665,0.0672,18389848.3,271036821
VTBR,D,20110517,000000,0.0672,0.0689,0.06695,0.06801,13064005.41,193240225
VTBR,D,20110518,000000,0.06801,0.06875,0.06643,0.06708,4781518.18,70790113
VTBR,D,20110519,000000,0.06708,0.06832,0.06684,0.06804,20073658.12,297123418
VTBR,D,20110520,000000,0.06804,0.06889,0.06744,0.06763,11510322.17,169681170
VTBR,D,20110523,000000,0.06763,0.06788,0.06565,0.06634,5845779.74,87269982
VTBR,D,20110524,000000,0.06634,0.06791,0.06594,0.06758,17715988.81,264575699
VTBR,D,20110525,000000,0.06758,0.06894,0.06688,0.06807,4396275.83,64817926
VTBR,D,20110526,000000,0.06807,0.06906,0.06618,0.06702,13003842.29,192521168
VTBR,D,20110527,000000,0.06702,0.06765,0.06511,0.06578,31354771.36,472210412
VTBR,D,20110530,000000,0.06578,0.0664,0.06478,0.06529,16829402.42,256800220
VTBR,D,20110531,000000,0.06529,0.06657,0.06435,0.06633,18697055.21,284106598
VTBR,D,20110601,000000,0.06633,0.06726,0.06452,0.06501,28647948.97,436241038
VTBR,D,20110602,000000,0.06501,0.0669,0.06421,0.06615,18464116.42,281551028
VTBR,D,20110603,000000,0.06615,0.06683,0.06434,0.06501,14331340.1,218532176
VTBR,D,20110606,000000,0.06501,0.06561,0.06485,0.06543,21017753.05,322259323
VTBR,D,20110607,000000,0.06543,0.06587,0.06432,0.06493,13604935.1,208728676
VTBR,D,20110608,000000,0.06493,0.06531,0.06456,0.06507,16480884.62,253552071
VTBR,D,20110609,000000,0.06507,0.06642,0.06465,0.06553,13815601.65,211571235
VTBR,D,20110610,000000,0.06553,0.06636,0.06458,0.06528,10650613.51,162840968
VTBR,D,20110613,000000,0.06528,0.06588,0.06472,0.0651,19533442.49,299638633
VTBR,D,20110614,000000,0.0651,0.06578,0.06444,0.06495,30960577.33,476133446
VTBR,D,20110615,000000,0.06495,0.06679,0.06413,0.06599,6253973.11,95524257
VTBR,D,20110616,000000,0.06599,0.06667,0.06501,0.06542,6579492.98,100136869
VTBR,D,20110617,000000,0.06542,0.06701,0.06505,0.06625,11231651.07,170603039
VTBR,D,20110620,000000,0.06625,0.06727,0.0653,0.06706,20335565.99,305086880
VTBR,D,20110621,000000,0.06706,0.06815,0.06648,0.06736,26084383.48,388102715
VTBR,D,20110622,000000,0.06736,0.06831,0.06671,0.06756,17847352.25,264561996
VTBR,D,20110623,000000,0.06756,0.06825,0.06587,0.06687,30459887.62,453170983
VTBR,D,20110624,000000,0.06687,0.06874,0.0666,0.06783,11280413.78,167489440
VTBR,D,20110627,000000,0.06783,0.06881,0.06643,0.06695,5186387.5,76960788
VTBR,D,20110628,000000,0.06695,0.06803,0.06606,0.0671,8149293.88,121585884
VTBR,D,20110629,000000,0.0671,0.06861,0.06702,0.06791,24955317.8,369681028
VTBR,D,20110630,000000,0.06791,0.0687,0.06682,0.06741,32987855.33,487553286
VTBR,D,20110701,000000,0.06741,0.06855,0.06718,0.068,23299762.75,344136515
VTBR,D,20110704,000000,0.068,0.06822,0.06765,0.06785,19808924.48,291629363
VTBR,D,20110705,000000,0.06785,0.06815,0.06679,0.0672,31138687.15,461143090
VTBR,D,20110706,000000,0.0672,0.06848,0.06642,0.06795,19336910.75,286154802
VTBR,D,20110707,000000,0.06795,0.06829,0.06605,0.0668,14933181.22,221642764
VTBR,D,20110708,000000,0.0668,0.06799,0.06594,0.06785,17210997.07,255640506
VTBR,D,20110711,000000,0.06785,0.06912,0.06689,0.06838,18311236.04,268828247
VTBR,D,20110712,000000,0.06838,0.06889,0.06696,0.06792,33881116.04,497155041
VTBR,D,20110713,000000,0.06792,0.06885,0.06724,0.0677,28711165.0,423406061
VTBR,D,20110714,000000,0.0677,0.0686,0.06594,0.0664,20522432.28,306076544
VTBR,D,20110715,000000,0.0664,0.06679,0.0648,0.06509,32785612.33,498678414
VTBR,D,20110718,000000,0.06509,0.06584,0.0644,0.06488,24295861.76,373868766
VTBR,D,20110719,000000,0.06488,0.06643,0.06415,0.06591,20319996.28,310727063
VTBR,D,20110720,000000,0.06591,0.06629,0.06431,0.06467,17436729.93,267065859
VTBR,D,20110721,000000,0.06467,0.06608,0.06453,0.06525,24949295.23,384071663
VTBR,D,20110722,000000,0.06525,0.06623,0.06481,0.06534,26506197.32,405945284
VTBR,D,20110725,000000,0.06534,0.06599,0.06326,0.0641,19278306.06,297872467
VTBR,D,20110726,000000,0.0641,0.0644,0.06262,0.06328,18732174.35,294114843
VTBR,D,20110727,000000,0.06328,0.06402,0.06223,0.06284,28612352.47,453732199
VTBR,D,20110728,000000,0.06284,0.06441,0.06263,0.06397,19179635.87,302494060
VTBR,D,20110729,000000,0.06397,0.06452,0.06268,0.06274,15071110.92,237883528
VTBR,D,20110801,000000,0.06274,0.06286,0.06195,0.06205,4468319.47,71613422
VTBR,D,20110802,000000,0.06205,0.06358,0.06129,0.06268,3800612.78,60941438
