<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;220103;000000;241.75;247.475;241.75;247.25;5590572
VTBR;D;220104;000000;247.275;249.35;245.3;248.5;5959020
VTBR;D;220105;000000;247.95;249.325;235.875;236.8;9527418
VTBR;D;220106;000000;236.825;242.5;235.25;242.225;7938072
VTBR;D;220110;000000;243.4;246.325;241.1;244.75;6950562
VTBR;D;220111;000000;244.975;252;243.375;251.3;9494698
VTBR;D;220112;000000;251.2;254.3;249.375;250.55;9739012
VTBR;D;220113;000000;250.45;251.2;229.2;235.375;34732510
VTBR;D;220114;000000;236.875;239.95;219.2;232.05;39009434
VTBR;D;220117;000000;232.525;234.125;224.3;232.5;21258324
VTBR;D;220118;000000;232.675;233.475;215.35;218.175;31446490
VTBR;D;220119;000000;215.225;232.5;205.625;226.375;29986462
VTBR;D;220120;000000;226.325;234.1;224.025;227.075;20528466
VTBR;D;220121;000000;225.475;231.25;218.8;219.675;16121056
VTBR;D;220124;000000;221.8;222.425;197.75;205.9;43458528
VTBR;D;220125;000000;204.975;213.5;203;212.675;27814868
VTBR;D;220126;000000;212.7;213.875;202.75;206.45;34858064
VTBR;D;220127;000000;203.9;220.6;203.325;215.5;30033300
VTBR;D;220128;000000;216.5;221.275;213.225;216.975;15052662
VTBR;D;220131;000000;217.825;222;215;218.9;18947302
VTBR;D;220201;000000;219;220.475;211.075;213.475;18988518
VTBR;D;220202;000000;214.7;216.125;209.4;212;13405130
VTBR;D;220203;000000;210.975;211.725;204;206.225;13567322
VTBR;D;220204;000000;208.1;210.625;203.625;206.25;13354236
VTBR;D;220207;000000;206;208.2;202.875;205.5;10234620
VTBR;D;220208;000000;205.975;211.15;204.425;211.025;19479732
VTBR;D;220209;000000;211.7;215;210.275;213.7;23882222
VTBR;D;220210;000000;213.7;214.5;208.25;209.5;20856532
VTBR;D;220211;000000;209.1;210.25;200.5;202.5;20430650
VTBR;D;220214;000000;200.2;202.75;193.175;201.425;28820460
VTBR;D;220215;000000;202;209.475;201.675;209.425;19499236
VTBR;D;220216;000000;210.225;216.9;210;214.625;24227158
VTBR;D;220217;000000;214.625;214.75;204.3;205.925;23157806
VTBR;D;220218;000000;206.85;209.4;194.1;196.45;27165630
VTBR;D;220221;000000;195.75;201;146;160.6;94506726
VTBR;D;220222;000000;159.85;172.9;144.8;171.075;83560926
VTBR;D;220224;000000;152.55;152.55;81.95;100.5;85112562
VTBR;D;220225;000000;101;113.475;91.25;100.55;44164616
VTBR;D;220324;000000;90.55;108.85;79.975;95;25703294
VTBR;D;220325;000000;98.425;99.025;85.5;87.5;14224482
VTBR;D;220328;000000;87.75;88.475;82.5;84.25;7569970
VTBR;D;220329;000000;84.35;89.725;81.1;82.5;11758078
VTBR;D;220330;000000;87.5;87.725;84.725;85.775;8090288
VTBR;D;220331;000000;86.775;99.6;86.775;99;36616794
VTBR;D;220401;000000;102.5;119.225;99.475;112.5;48366282
VTBR;D;220404;000000;115.1;125.75;112.5;125.5;59716968
VTBR;D;220405;000000;129.05;131.8;109;115.4;71983438
VTBR;D;220406;000000;110.45;117.5;106.1;109.75;29650248
VTBR;D;220407;000000;109.975;115.575;109.975;114.05;16155236
VTBR;D;220408;000000;115.3;116.4;110.025;111.8;11022184
VTBR;D;220411;000000;110.35;113.15;107;107.5;11733918
VTBR;D;220412;000000;108.475;108.475;100.75;105.55;14502284
VTBR;D;220413;000000;107.15;108.075;104.15;105.675;7346250
VTBR;D;220414;000000;106.125;106.5;99.525;99.675;8801110
VTBR;D;220415;000000;99.55;103.1;95.525;100.625;12639668
VTBR;D;220418;000000;101.375;102.5;95.1;95.125;8666262
VTBR;D;220419;000000;95;95;89.3;93.475;12633904
VTBR;D;220420;000000;94.025;96.775;91.125;96.475;12026420
VTBR;D;220421;000000;96.05;96.4;93.575;94.9;5878410
VTBR;D;220422;000000;94.3;98;93.4;94.05;6387326
VTBR;D;220425;000000;93.325;93.5;90.15;90.775;6139726
VTBR;D;220426;000000;91.25;97.825;90.6;95.625;11805614
VTBR;D;220427;000000;95.975;100.5;94.5;99.5;15559326
VTBR;D;220428;000000;100.5;101.975;95.15;95.575;14173810
VTBR;D;220429;000000;97.475;101.95;96.4;100.475;20427682
VTBR;D;220504;000000;100.425;102.475;97.6;97.95;8307512
VTBR;D;220505;000000;98.7;99.575;98;98.975;3912478
VTBR;D;220506;000000;98.75;98.75;96.225;97.4;4293080
VTBR;D;220511;000000;97.15;98.75;95.875;96.525;4839996
VTBR;D;220512;000000;96.525;96.875;91.725;92.775;5353468
VTBR;D;220513;000000;94.125;94.475;92.3;93.25;3028430
VTBR;D;220516;000000;94.125;95.725;93.25;94.9;3980148
VTBR;D;220517;000000;95.9;97.4;95.05;96.65;5361752
VTBR;D;220518;000000;97.225;99.6;96;96;7494002
VTBR;D;220519;000000;96;96.9;94.55;95.85;3916660
VTBR;D;220520;000000;96.4;96.95;93.625;94.375;4150976
VTBR;D;220523;000000;94.875;95.425;92.525;92.85;3739578
VTBR;D;220524;000000;92.625;94.4;90.5;93.525;5377522
VTBR;D;220525;000000;94;94.7;92.5;94.05;4156408
VTBR;D;220526;000000;94.35;95.4;93.175;94;6554830
VTBR;D;220527;000000;94.2;94.375;92.75;93;3790484
VTBR;D;220530;000000;93.275;93.8;91.325;91.5;5105724
VTBR;D;220531;000000;91.25;91.95;90.525;91.55;2989974
VTBR;D;220601;000000;91.2;92.95;90.5;92.475;4915692
VTBR;D;220602;000000;92.2;92.5;89.575;89.675;6051986
VTBR;D;220603;000000;89.675;90.475;87.125;87.75;6034494
VTBR;D;220606;000000;87.8;88.4;86;87.075;4089718
VTBR;D;220607;000000;87.1;87.1;84.775;86.05;5239660
VTBR;D;220608;000000;86.3;88.475;85.625;86.7;5317922
VTBR;D;220609;000000;87;87.075;84.875;85.15;3247056
VTBR;D;220610;000000;85.35;85.95;84.75;85;3199148
VTBR;D;220614;000000;84.95;88.25;83.75;87.475;6488256
VTBR;D;220615;000000;87.625;89.85;87.6;88;7154226
VTBR;D;220616;000000;88.275;89.175;87.5;88.975;6280516
VTBR;D;220617;000000;89.025;91.05;88.575;89.5;7815626
VTBR;D;220620;000000;90.225;94.275;90;93.7;9613966
VTBR;D;220621;000000;94.5;94.85;91;91.025;9403382
VTBR;D;220622;000000;90.475;92.55;89.05;92.55;7848284
VTBR;D;220623;000000;92.5;94.85;91.375;92.925;10334130
VTBR;D;220624;000000;93.375;93.925;91.625;93;5304702
VTBR;D;220627;000000;92.975;95.85;92.75;95.5;9564164
VTBR;D;220628;000000;95.775;97.65;94.1;96.5;10774096
VTBR;D;220629;000000;96.7;96.725;92.925;93.525;7165114
VTBR;D;220630;000000;93.475;94.75;88;88.9;11533226
VTBR;D;220701;000000;88.525;91.25;86.575;87.525;6686486
VTBR;D;220704;000000;88.825;92.75;88.8;92.75;8273866
VTBR;D;220705;000000;92.8;95.5;92.475;93.925;12339550
VTBR;D;220706;000000;93.125;95.5;92.925;93.6;6310192
VTBR;D;220707;000000;94.05;94.4;92.5;93.675;4558760
VTBR;D;220708;000000;94.25;94.7;93.1;94.15;3705722
VTBR;D;220711;000000;93.5;94.35;91.35;91.625;4699636
VTBR;D;220712;000000;91.8;92.375;90.25;90.825;6146866
VTBR;D;220713;000000;91.475;92.15;88.85;89.425;4808694
VTBR;D;220714;000000;89.6;91;88.675;88.75;4500136
VTBR;D;220715;000000;89.3;90.325;88.4;89.925;4655758
VTBR;D;220718;000000;90.35;91.175;89.375;90.4;3977964
VTBR;D;220719;000000;90.475;92.075;89.15;92.025;6091200
VTBR;D;220720;000000;92.6;93.725;91.025;91.15;6379434
VTBR;D;220721;000000;91.15;91.575;89.375;90.9;4937396
VTBR;D;220722;000000;90.85;92.825;90.675;91.95;4727610
VTBR;D;220725;000000;91.75;93.375;91.35;92.55;4308868
VTBR;D;220726;000000;92.85;93.85;92.55;93.15;4429834
VTBR;D;220727;000000;93.15;94.25;92;92.25;5317358
VTBR;D;220728;000000;92.825;93.175;91.375;92.5;3202728
VTBR;D;220729;000000;92.7;93;91.75;92.925;3285560
VTBR;D;220801;000000;92.975;93.075;90.775;90.775;3981900
VTBR;D;220802;000000;90.725;91.35;89.925;90.05;4193496
VTBR;D;220803;000000;90.225;90.75;89;89;3952692
VTBR;D;220804;000000;89.45;90.425;89.025;89.725;3134226
VTBR;D;220805;000000;90.075;90.125;87.275;88.1;5064880
VTBR;D;220808;000000;89.25;89.975;88.275;88.275;4742464
VTBR;D;220809;000000;88.55;89.675;87.675;89.6;3652964
VTBR;D;220810;000000;89.4;90.625;88.925;90.35;3743584
VTBR;D;220811;000000;90.5;90.85;88.775;89.25;3762576
VTBR;D;220812;000000;89.275;90;88.4;89.775;2955900
VTBR;D;220815;000000;89.6;90.425;88.95;90;3554638
VTBR;D;220816;000000;90.15;90.65;89.575;90.325;3586814
VTBR;D;220817;000000;90.55;92.5;90.55;90.9;8202130
VTBR;D;220818;000000;90.95;91.5;90.1;90.7;3099204
VTBR;D;220819;000000;90.9;90.9;89.575;90;3391418
VTBR;D;220822;000000;89.825;90.55;89.375;90.2;3291810
VTBR;D;220823;000000;90.05;91.825;90.05;91.65;4511512
VTBR;D;220824;000000;91.925;92.2;90.75;91.375;3419772
VTBR;D;220825;000000;91.375;92;90.5;90.725;3168794
VTBR;D;220826;000000;90.975;91.475;90.5;91.2;2166556
VTBR;D;220829;000000;91.175;93.45;90.9;93.25;5376676
VTBR;D;220830;000000;93.75;94.9;92.8;93.975;9962532
VTBR;D;220831;000000;95.75;97.85;94.625;96.725;15390342
VTBR;D;220901;000000;96.725;98.425;95.625;97.65;9648566
VTBR;D;220902;000000;98.275;100.9;97.5;100.45;15728518
VTBR;D;220905;000000;100.9;103.45;98.8;103.35;14453002
VTBR;D;220906;000000;102.675;104;97.525;99.55;19930054
VTBR;D;220907;000000;99.575;102.3;98.5;99.4;11487458
VTBR;D;220908;000000;99.5;100.5;98;98.25;9591320
VTBR;D;220909;000000;99;99.75;98.3;99.3;6007638
VTBR;D;220912;000000;98.75;101.4;98.15;100.65;9698124
VTBR;D;220913;000000;101.175;101.925;99.55;99.725;9200862
VTBR;D;220914;000000;99.55;100.525;98.25;100.225;8891222
VTBR;D;220915;000000;100.2;100.75;99.45;100.175;6422758
VTBR;D;220916;000000;100.05;100.975;99.1;99.7;7623612
VTBR;D;220919;000000;99.5;100.35;99.175;99.375;4863324
VTBR;D;220920;000000;99.4;99.85;89.75;92.25;26318860
VTBR;D;220921;000000;84.975;91.5;84.025;87.15;19318798
VTBR;D;220922;000000;87.3;91.55;87.175;89.75;11571328
VTBR;D;220923;000000;89.425;89.85;84.25;85.075;12214122
VTBR;D;220926;000000;83.15;83.875;75.95;76.875;26135116
VTBR;D;220927;000000;78.975;80.7;76.975;79.325;14983312
VTBR;D;220928;000000;79;80.75;75.3;77.575;12505780
VTBR;D;220929;000000;77.95;78.4;72.525;74.85;14767486
VTBR;D;220930;000000;75.275;75.875;71.125;74.65;25790570
VTBR;D;221003;000000;75;79.2;74.05;78.625;14891506
VTBR;D;221004;000000;79.325;79.55;75.05;76.5;14399868
VTBR;D;221005;000000;76.35;76.475;73.275;76;10603882
VTBR;D;221006;000000;76.3;77.375;75.2;75.7;6121524
VTBR;D;221007;000000;75.5;75.55;72;72.125;8579594
VTBR;D;221010;000000;70.125;75.3;69.4;74.6;11351510
VTBR;D;221011;000000;75.025;76.775;73.725;76.125;8213238
VTBR;D;221012;000000;76.2;76.95;75.325;76.15;5549684
VTBR;D;221013;000000;76.2;77.5;75.425;76.375;5462168
VTBR;D;221014;000000;76.625;76.925;74.25;76;8520146
VTBR;D;221017;000000;76.075;79.475;75.8;78.975;9104150
VTBR;D;221018;000000;79.4;81.925;78.05;78.65;15411666
VTBR;D;221019;000000;78.7;79.75;77.625;79.175;14296830
VTBR;D;221020;000000;79.5;81.425;78.925;80.3;11945002
VTBR;D;221021;000000;80.3;81.325;79.05;80.9;8559196
VTBR;D;221024;000000;81.25;82.15;79.4;80.4;9152798
VTBR;D;221025;000000;80.4;83.8;80.125;82.75;12777724
VTBR;D;221026;000000;82.775;84.7;82.15;83.775;10239320
VTBR;D;221027;000000;83.95;84.975;83.05;84.175;9939610
VTBR;D;221028;000000;83.9;85;82.5;84.575;9009520
VTBR;D;221031;000000;84.6;85.725;83.8;84.2;6711550
VTBR;D;221101;000000;84.575;84.95;83.9;84.225;4774084
VTBR;D;221102;000000;84.375;84.4;81.125;82;6527504
VTBR;D;221103;000000;81.975;82.45;80.55;82;5667800
VTBR;D;221107;000000;82.925;84.425;82.425;84.3;9519392
VTBR;D;221108;000000;84.475;87.125;83.5;86.25;13972338
VTBR;D;221109;000000;86.025;87.025;82.6;82.95;12472588
VTBR;D;221110;000000;83.675;86.8;83.275;86.45;18131166
VTBR;D;221111;000000;86.7;86.975;84.9;85.8;9490166
VTBR;D;221114;000000;86.025;88.55;85.35;87.125;11189996
VTBR;D;221115;000000;87.325;88.275;81.575;84.025;15654056
VTBR;D;221116;000000;84.75;86;84.55;85.4;6966574
VTBR;D;221117;000000;85.6;86.55;84.8;85.575;6314266
VTBR;D;221118;000000;85.6;85.925;84.6;85.175;4774360
VTBR;D;221121;000000;85.325;85.325;83.5;84.4;6293030
VTBR;D;221122;000000;84.05;85.15;83.975;84.95;4604242
VTBR;D;221123;000000;85;85.95;84.5;85.3;4659982
VTBR;D;221124;000000;85.325;86.075;84.925;85.175;4308404
VTBR;D;221125;000000;85.05;85.45;84.725;84.9;2800116
VTBR;D;221128;000000;84.325;84.725;83.85;84.25;4313818
VTBR;D;221129;000000;84.5;84.75;84.175;84.575;2603328
VTBR;D;221130;000000;84.875;84.875;84.075;84.7;2113090
VTBR;D;221201;000000;84.9;85.25;84.15;84.675;3160984
