<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
XXBTZUSD;D;220101;000000;46150;47922.6;46150;47738.3;2133.63529785
XXBTZUSD;D;220102;000000;47736.5;47950.4;46700;47304.6;1343.75926236
XXBTZUSD;D;220103;000000;47301.2;47567.2;45707.9;46452.6;2133.14177926
XXBTZUSD;D;220104;000000;46452.5;47500;45548.7;45858.5;2219.89025735
XXBTZUSD;D;220105;000000;45858.5;47066.5;42505;43410;4070.48287759
XXBTZUSD;D;220106;000000;43432.5;43748;42424;43124.4;4794.61332537
XXBTZUSD;D;220107;000000;43124.5;43134.9;40666;41523.6;5771.04230856
XXBTZUSD;D;220108;000000;41523.7;42302.4;40555;41693.2;2564.73685397
XXBTZUSD;D;220109;000000;41693.2;42786.7;41249.7;41862.9;2006.61458019
XXBTZUSD;D;220110;000000;41867.1;42239.6;39659.9;41855.3;4131.28228197
XXBTZUSD;D;220111;000000;41855.2;43127.5;41315.5;42728.8;3316.84906075
XXBTZUSD;D;220112;000000;42728.8;44348.5;42480;43927.8;2847.97173242
XXBTZUSD;D;220113;000000;43927.8;44420.1;42352;42550;2960.06602156
XXBTZUSD;D;220114;000000;42550;43473.1;41800;43090;2711.96112072
XXBTZUSD;D;220115;000000;43090;43791.6;42600;43111.5;975.55181847
XXBTZUSD;D;220116;000000;43111.5;43463.8;42614.9;43114.5;1264.00992817
XXBTZUSD;D;220117;000000;43114.5;43200.6;41579.2;42248.1;1677.42017272
XXBTZUSD;D;220118;000000;42248;42667;41288;42383;1862.19822019
XXBTZUSD;D;220119;000000;42371.3;42577.8;41159;41686.2;1920.18836342
XXBTZUSD;D;220120;000000;41686.2;43497.4;40577.1;40686.9;3095.76886468
XXBTZUSD;D;220121;000000;40686.9;41115.7;35409.7;36468.4;8876.99831104
XXBTZUSD;D;220122;000000;36446.2;36814.5;34007.7;35067.6;5382.91732991
XXBTZUSD;D;220123;000000;35070.8;36500;34613.3;36277.5;2385.56399264
XXBTZUSD;D;220124;000000;36270.1;37500;32940.1;36699.5;7639.65509652
XXBTZUSD;D;220125;000000;36699.5;37552.8;35685.3;36987.8;3186.96357197
XXBTZUSD;D;220126;000000;36994.6;38899.9;36251.2;36827.6;5526.04694083
XXBTZUSD;D;220127;000000;36827.7;37242.5;35548.5;37200.5;4276.48017388
XXBTZUSD;D;220128;000000;37168;37999.9;36172.3;37737.9;2662.80699128
XXBTZUSD;D;220129;000000;37735.7;38719.5;37275.7;38164.9;1737.65164383
XXBTZUSD;D;220130;000000;38188.3;38358;37389;37930.1;1037.63136699
XXBTZUSD;D;220131;000000;37914;38786;36667.5;38512.1;2521.02829205
XXBTZUSD;D;220201;000000;38512;39290;38050;38719.9;3336.01346913
XXBTZUSD;D;220202;000000;38721.4;38878.8;36600;36903.3;2725.79712871
XXBTZUSD;D;220203;000000;36921.5;37389;36269.8;37324.4;1721.53526412
XXBTZUSD;D;220204;000000;37324.3;41774;37073.9;41585.5;4269.91966942
XXBTZUSD;D;220205;000000;41597.2;41926.4;40883.7;41419;2211.15688361
XXBTZUSD;D;220206;000000;41419;42694.5;41141.9;42419.5;1818.07180806
XXBTZUSD;D;220207;000000;42426.1;44528.6;41697.4;43867.2;4597.99062012
XXBTZUSD;D;220208;000000;43873.1;45500;42709.6;44079.1;3420.96418171
XXBTZUSD;D;220209;000000;44083.1;44831;43187.2;44420;3210.35239538
XXBTZUSD;D;220210;000000;44420.1;45900;43228;43537.5;5478.544802
