<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
ВТБ ао;D;20160505;000000;0.07017;0.0702;0.06882;0.0702;19047360000;1323739155.8
ВТБ ао;D;20160506;000000;0.06975;0.06989;0.06851;0.069;13440250000;928617541.4
ВТБ ао;D;20160510;000000;0.06855;0.06934;0.06805;0.0685;16551040000;1131870229.8
ВТБ ао;D;20160511;000000;0.06854;0.06982;0.06837;0.0695;21192590000;1463962285
ВТБ ао;D;20160512;000000;0.0698;0.07046;0.06835;0.069;14883520000;1034656634.5
ВТБ ао;D;20160513;000000;0.06888;0.06921;0.06805;0.0688;11790340000;808567090.8
ВТБ ао;D;20160516;000000;0.06944;0.07012;0.06901;0.06959;13883110000;967987332.6
ВТБ ао;D;20160517;000000;0.06971;0.06999;0.0681;0.0689;17206350000;1181114788.8
ВТБ ао;D;20160518;000000;0.0686;0.06914;0.06836;0.069;6247600000;429374637.1
ВТБ ао;D;20160519;000000;0.0686;0.06874;0.06815;0.06816;9556220000;653285047.7
ВТБ ао;D;20160520;000000;0.0686;0.06864;0.06716;0.0685;14333890000;973023754.7
ВТБ ао;D;20160523;000000;0.0682;0.0685;0.0676;0.0685;7498180000;510884562.9
ВТБ ао;D;20160524;000000;0.06834;0.069;0.06788;0.069;9038980000;618125656
ВТБ ао;D;20160525;000000;0.06929;0.07026;0.0692;0.0699;15618200000;1089848125.6
ВТБ ао;D;20160526;000000;0.07035;0.07075;0.06905;0.07;17727290000;1239528213.6
ВТБ ао;D;20160527;000000;0.06961;0.0699;0.06909;0.06922;8078420000;560897499.2
ВТБ ао;D;20160530;000000;0.06942;0.0702;0.0691;0.06987;6422350000;446996429.6
ВТБ ао;D;20160531;000000;0.06962;0.0703;0.06778;0.0684;15254310000;1055216497.5
ВТБ ао;D;20160601;000000;0.06848;0.06882;0.06794;0.06832;12643310000;863890794.8
ВТБ ао;D;20160602;000000;0.06854;0.0686;0.06777;0.06792;8139940000;554349023.3
ВТБ ао;D;20160603;000000;0.06805;0.06888;0.06792;0.0684;11244810000;768689476.4
ВТБ ао;D;20160606;000000;0.0682;0.0699;0.06808;0.0695;9262710000;643970510.3
ВТБ ао;D;20160607;000000;0.06932;0.07086;0.0692;0.0703;14724000000;1034024974.4
ВТБ ао;D;20160608;000000;0.07057;0.0721;0.06963;0.072;17454930000;1237886579
ВТБ ао;D;20160609;000000;0.07205;0.07359;0.07205;0.073;27795360000;2024174009.2
ВТБ ао;D;20160610;000000;0.0726;0.0731;0.07154;0.0728;24280030000;1762463874.5
ВТБ ао;D;20160614;000000;0.07226;0.07272;0.0705;0.071;27502360000;1953354733
ВТБ ао;D;20160615;000000;0.0708;0.07175;0.07005;0.07013;19090140000;1355984134.7
ВТБ ао;D;20160616;000000;0.06953;0.06999;0.06776;0.0692;17531950000;1208072976.9
ВТБ ао;D;20160617;000000;0.06957;0.0707;0.06835;0.069;13221440000;918854906.4
ВТБ ао;D;20160620;000000;0.06962;0.07038;0.06926;0.06999;5862910000;409444250.5
ВТБ ао;D;20160621;000000;0.06962;0.07045;0.0691;0.07018;6169200000;429961753.4
ВТБ ао;D;20160622;000000;0.07018;0.07043;0.0688;0.069;9008420000;625031257.6
ВТБ ао;D;20160623;000000;0.06935;0.06974;0.06834;0.0695;5576950000;385222320.7
ВТБ ао;D;20160624;000000;0.06846;0.06878;0.0665;0.06878;16277460000;1102111814
ВТБ ао;D;20160627;000000;0.06854;0.06876;0.067;0.067;8714060000;588405648.4
ВТБ ао;D;20160628;000000;0.06746;0.06774;0.06655;0.06763;10351090000;694321032
ВТБ ао;D;20160629;000000;0.06778;0.0687;0.06755;0.0687;7503450000;510069720.2
ВТБ ао;D;20160630;000000;0.0688;0.069;0.06731;0.068;10219700000;696416826.9
ВТБ ао;D;20160701;000000;0.06735;0.06805;0.0671;0.06735;6822230000;460311121.5
ВТБ ао;D;20160704;000000;0.0677;0.06788;0.0669;0.06739;4495900000;302511628.8
ВТБ ао;D;20160705;000000;0.06722;0.06738;0.0667;0.06701;3592640000;240519654.3
ВТБ ао;D;20160706;000000;0.06676;0.0674;0.06654;0.06723;5455290000;364847342.5
ВТБ ао;D;20160707;000000;0.0675;0.06937;0.06739;0.06805;15043010000;1031756740.3
ВТБ ао;D;20160708;000000;0.06753;0.0685;0.06751;0.06819;7153310000;486660009.8
ВТБ ао;D;20160711;000000;0.0685;0.06947;0.06795;0.06889;6744880000;463832823.7
ВТБ ао;D;20160712;000000;0.06905;0.06994;0.06881;0.06905;8533980000;592891482.3
ВТБ ао;D;20160713;000000;0.06906;0.06936;0.06748;0.0675;12096590000;824365840.1
ВТБ ао;D;20160714;000000;0.0679;0.06849;0.06764;0.06849;6719040000;457236516.1
ВТБ ао;D;20160715;000000;0.0683;0.06857;0.0676;0.06832;6859530000;466543647.7
ВТБ ао;D;20160718;000000;0.06823;0.06882;0.06786;0.06875;7172220000;490868349.9
ВТБ ао;D;20160719;000000;0.06853;0.06853;0.0668;0.0676;18747100000;1263455334.4
ВТБ ао;D;20160720;000000;0.06711;0.06767;0.06661;0.0669;7332540000;492292999
ВТБ ао;D;20160721;000000;0.06723;0.06763;0.06689;0.06759;4011850000;270006786.2
ВТБ ао;D;20160722;000000;0.06739;0.06787;0.06711;0.06711;3578750000;241453072.8
ВТБ ао;D;20160725;000000;0.06744;0.0682;0.0672;0.06794;5470820000;370824511.2
ВТБ ао;D;20160726;000000;0.06788;0.0682;0.06712;0.06771;4664200000;315627512.6
ВТБ ао;D;20160727;000000;0.06796;0.06854;0.06775;0.0685;5148180000;351181414.8
ВТБ ао;D;20160728;000000;0.06858;0.06858;0.06787;0.06818;5047560000;344327962
ВТБ ао;D;20160729;000000;0.06825;0.06838;0.06732;0.06741;8039010000;544538645.4
ВТБ ао;D;20160801;000000;0.06793;0.06821;0.06655;0.06692;6046190000;407616342.9
ВТБ ао;D;20160802;000000;0.06696;0.06739;0.0664;0.06719;8817570000;589619014.7
ВТБ ао;D;20160803;000000;0.06719;0.06731;0.0666;0.06716;3996450000;267484168.2
ВТБ ао;D;20160804;000000;0.06733;0.0686;0.06705;0.0684;11255140000;763696924.7
ВТБ ао;D;20160805;000000;0.06855;0.06895;0.0671;0.06762;12719750000;863082390.8
ВТБ ао;D;20160808;000000;0.06785;0.06837;0.0673;0.06805;4586590000;311530709.7
ВТБ ао;D;20160809;000000;0.068;0.06818;0.06731;0.06765;4294830000;291275773.8
ВТБ ао;D;20160810;000000;0.06793;0.06815;0.06721;0.0677;5912350000;399898316.6
ВТБ ао;D;20160811;000000;0.0675;0.06782;0.06677;0.06777;7556160000;508089781.8
ВТБ ао;D;20160812;000000;0.0679;0.06822;0.06764;0.068;6885800000;467716473
ВТБ ао;D;20160815;000000;0.06819;0.0683;0.0666;0.0674;26996100000;1811012881.1
ВТБ ао;D;20160816;000000;0.06742;0.06787;0.06622;0.0666;27594630000;1847840359.2
ВТБ ао;D;20160817;000000;0.06683;0.067;0.06612;0.067;10817660000;720695811.8
ВТБ ао;D;20160818;000000;0.067;0.06718;0.0665;0.067;6230970000;415983338.5
ВТБ ао;D;20160819;000000;0.06688;0.06717;0.0662;0.067;15355760000;1023738148.8
ВТБ ао;D;20160822;000000;0.06673;0.067;0.06642;0.067;7019130000;468038469.4
ВТБ ао;D;20160823;000000;0.0668;0.06756;0.0666;0.06749;6652130000;447170974.8
ВТБ ао;D;20160824;000000;0.0673;0.06738;0.06665;0.0672;3914960000;262178416.5
ВТБ ао;D;20160825;000000;0.0672;0.0676;0.06675;0.0675;6055410000;407174680.5
ВТБ ао;D;20160826;000000;0.06723;0.06759;0.06663;0.0671;10492380000;702786629.4
ВТБ ао;D;20160829;000000;0.06672;0.06738;0.06667;0.06738;4793900000;321075953.8
ВТБ ао;D;20160830;000000;0.0674;0.06837;0.06707;0.0682;14675820000;994747524.1
ВТБ ао;D;20160831;000000;0.068;0.06869;0.068;0.06849;12788480000;872388163.8
ВТБ ао;D;20160901;000000;0.0683;0.07045;0.06812;0.0702;16996160000;1177666668.8
ВТБ ао;D;20160902;000000;0.07047;0.07419;0.07014;0.07375;60588340000;4417619257.8
ВТБ ао;D;20160905;000000;0.07403;0.07487;0.07275;0.0739;21329770000;1579055819.8
ВТБ ао;D;20160906;000000;0.07401;0.07438;0.07292;0.07425;18538280000;1368576436.2
ВТБ ао;D;20160907;000000;0.07453;0.07579;0.07426;0.07545;23175350000;1735250441.3
ВТБ ао;D;20160908;000000;0.07573;0.07677;0.07523;0.07638;15968890000;1210486254.5
ВТБ ао;D;20160909;000000;0.07583;0.07675;0.0748;0.07675;20193170000;1538579755.1
ВТБ ао;D;20160912;000000;0.07606;0.07679;0.07429;0.075;27618320000;2072178024.2
ВТБ ао;D;20160913;000000;0.07518;0.07559;0.0745;0.07455;11599180000;867996403
ВТБ ао;D;20160914;000000;0.07455;0.0748;0.07411;0.0745;12231660000;910729177.1
ВТБ ао;D;20160915;000000;0.0745;0.0747;0.07001;0.0746;13258500000;982267720.3
ВТБ ао;D;20160916;000000;0.0746;0.0756;0.0745;0.075;16980520000;1271180159.9
ВТБ ао;D;20160919;000000;0.075;0.07546;0.0744;0.0745;8563690000;641512231.5
