"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.05.2026","73,1474","73,6000","73,7600","72,3026","","-0,63%"
"13.05.2026","73,6100","73,8100","74,1750","73,0500","","-0,27%"
"12.05.2026","73,8100","74,0100","74,0600","73,6750","","0,29%"
"11.05.2026","73,6000","74,2000","74,5000","73,6000","","-0,81%"
"08.05.2026","74,2000","74,8100","74,8100","74,1000","","-0,60%"
"07.05.2026","74,6500","74,8000","74,8000","74,5500","","-0,13%"
"06.05.2026","74,7500","75,6600","75,8250","74,6100","","-0,99%"
"05.05.2026","75,5000","75,6100","75,7500","75,2000","","-0,15%"
"04.05.2026","75,6100","74,9100","76,5000","74,9100","","0,88%"
"01.05.2026","74,9500","74,9500","74,9500","74,9500","","0,00%"
"30.04.2026","74,9500","75,0600","75,3100","74,7750","","-0,15%"
"29.04.2026","75,0600","75,1600","75,5500","74,7500","","-0,13%"
"28.04.2026","75,1600","74,8100","75,6250","74,6500","","0,38%"
"27.04.2026","74,8750","75,5600","75,5600","74,7500","","-0,50%"
"24.04.2026","75,2500","75,5100","76,0100","75,2500","","-0,82%"
"23.04.2026","75,8750","74,9600","76,1500","74,7000","","1,03%"
"22.04.2026","75,1000","75,0600","75,4600","74,8000","","0,05%"
"21.04.2026","75,0600","75,1100","75,1250","74,4000","","0,15%"
"20.04.2026","74,9500","75,9600","76,1600","74,9500","","-1,38%"
"17.04.2026","76,0000","76,3600","76,5100","75,6250","","-0,47%"
"16.04.2026","76,3600","76,0100","76,6500","75,4000","","0,46%"
"15.04.2026","76,0100","75,5100","76,0100","74,6000","","0,84%"
"14.04.2026","75,3750","76,0600","76,3100","75,2000","","-0,90%"
